id;labels
136859;Thumb Up
68574;Swiping Right
20706;No gesture
42237;Thumb Down
133442;Zooming Out With Full Hand
94060;Thumb Down
39493;No gesture
57576;Zooming In With Full Hand
69886;Zooming In With Full Hand
62818;Swiping Left
29589;Thumb Down
46867;Zooming Out With Full Hand
1338;Swiping Right
10179;Swiping Left
19834;Zooming Out With Full Hand
121324;Zooming Out With Full Hand
28883;No gesture
42951;Zooming Out With Full Hand
136366;Thumb Down
53251;Zooming In With Full Hand
49096;Zooming Out With Full Hand
40869;Thumb Down
12133;No gesture
52724;Zooming In With Full Hand
123985;No gesture
2720;Thumb Up
112513;Thumb Down
26431;Zooming Out With Full Hand
102678;No gesture
71550;Thumb Down
118215;Thumb Down
10504;No gesture
104639;Swiping Left
127712;Thumb Up
25380;Zooming Out With Full Hand
64966;Zooming Out With Full Hand
74327;Zooming Out With Full Hand
50483;Thumb Down
106347;Zooming In With Full Hand
22613;Thumb Up
142741;Zooming In With Full Hand
114674;No gesture
114827;No gesture
108964;Thumb Up
105791;Swiping Left
38482;Swiping Left
78394;Swiping Right
111880;Swiping Left
59393;Zooming Out With Full Hand
39047;Zooming In With Full Hand
88051;No gesture
51084;No gesture
90819;Zooming In With Full Hand
147456;Swiping Left
93110;Thumb Up
9913;Zooming In With Full Hand
6022;No gesture
23903;No gesture
92896;Zooming In With Full Hand
136771;Thumb Up
75238;Swiping Left
33220;No gesture
39319;Swiping Left
52906;Swiping Right
126229;Zooming In With Full Hand
113147;Swiping Left
12588;Zooming In With Full Hand
25805;Zooming In With Full Hand
52825;Thumb Up
84237;No gesture
96825;Zooming Out With Full Hand
56683;No gesture
116383;Zooming Out With Full Hand
8466;No gesture
67863;Thumb Up
134801;No gesture
94725;No gesture
53151;Thumb Up
111679;Swiping Right
66147;Thumb Up
53538;Zooming In With Full Hand
24918;Thumb Down
135294;Swiping Right
97230;Thumb Down
16198;Swiping Right
103305;Swiping Right
32596;Thumb Down
145771;Swiping Right
86146;Thumb Down
22459;Thumb Up
144993;No gesture
2322;Zooming Out With Full Hand
131518;Zooming In With Full Hand
17752;Thumb Down
140329;Zooming Out With Full Hand
22724;No gesture
113830;Thumb Down
60762;Thumb Down
48306;Thumb Up
102451;Thumb Up
36169;Thumb Up
15429;Swiping Left
26409;Zooming Out With Full Hand
42390;Zooming Out With Full Hand
18931;Thumb Up
22184;Thumb Down
112036;Thumb Down
12786;Zooming Out With Full Hand
47086;Thumb Up
132650;Thumb Up
121718;Thumb Down
25100;Thumb Up
3452;Swiping Left
125940;Thumb Up
47572;No gesture
63130;Thumb Down
145942;Zooming Out With Full Hand
33366;Thumb Down
130848;No gesture
10185;Thumb Up
73495;Swiping Left
119960;Zooming Out With Full Hand
86594;Zooming In With Full Hand
14299;No gesture
65499;Swiping Left
131313;Swiping Right
7170;Thumb Down
80148;Swiping Right
47344;Thumb Up
125826;Zooming In With Full Hand
117454;No gesture
146793;Swiping Left
51882;Swiping Left
116965;Zooming In With Full Hand
81824;No gesture
97762;Thumb Down
2204;Zooming In With Full Hand
112475;Thumb Up
111710;Zooming In With Full Hand
84764;Swiping Right
1393;No gesture
16242;Zooming In With Full Hand
40388;Swiping Left
126086;Thumb Down
31738;Swiping Right
128353;Thumb Up
96542;Thumb Down
27945;Swiping Right
18229;Thumb Down
19105;Thumb Up
91465;Swiping Right
116498;Swiping Left
82435;Thumb Up
27478;Zooming In With Full Hand
129232;Zooming Out With Full Hand
34013;Zooming Out With Full Hand
25085;Zooming Out With Full Hand
20597;Swiping Right
112499;Thumb Up
143053;Thumb Up
20768;No gesture
9419;Zooming In With Full Hand
50265;Swiping Right
25820;Thumb Down
95462;Thumb Up
81651;Swiping Left
143729;Swiping Left
128004;No gesture
119948;Swiping Left
105451;Thumb Down
42979;Zooming In With Full Hand
108670;Zooming In With Full Hand
106842;Zooming In With Full Hand
111293;Thumb Down
69894;Swiping Right
108595;Thumb Up
74775;No gesture
88710;Zooming In With Full Hand
93303;Swiping Left
106490;Thumb Up
100984;Zooming In With Full Hand
72465;Swiping Right
58382;Swiping Right
61068;Thumb Up
112539;No gesture
141002;Thumb Up
104774;No gesture
80494;No gesture
110469;Swiping Left
21746;Zooming In With Full Hand
144583;Swiping Left
13359;Thumb Up
55315;No gesture
114451;No gesture
38949;Swiping Right
34529;Thumb Down
63036;Swiping Left
49399;No gesture
142561;Thumb Up
25144;No gesture
143158;Swiping Left
80103;Thumb Up
137582;Swiping Right
126129;Zooming Out With Full Hand
33658;No gesture
53108;Swiping Left
129342;Zooming Out With Full Hand
25918;Zooming Out With Full Hand
27593;Swiping Right
2923;No gesture
146317;Swiping Right
133467;Zooming Out With Full Hand
14674;Swiping Right
91086;Swiping Left
94986;Zooming In With Full Hand
127869;Zooming In With Full Hand
145195;Thumb Up
108421;Thumb Down
116406;Thumb Down
80145;Thumb Up
146855;No gesture
54964;Thumb Down
16764;No gesture
104628;Zooming In With Full Hand
146228;No gesture
119370;Swiping Right
61814;Swiping Right
43852;No gesture
2379;Zooming Out With Full Hand
120138;Swiping Right
109081;Thumb Down
90562;Swiping Left
